studentId,firstName,lastName,DOB,class,score,status,photoPath
1.0,Qrcey,Flju,2008-04-25,Class1,72.0,1.0,
2.0,Dxdx,Czubldr,2008-09-20,Class3,93.0,1.0,
3.0,Nvkwob,Tlw,2002-02-03,Class2,78.0,1.0,
4.0,Izzif,Hxujsja,2000-12-10,Class1,73.0,1.0,
5.0,Agfzup,Fidyeqe,2005-08-15,Class3,70.0,1.0,
6.0,Stikh,Uslyc,2009-09-20,Class3,72.0,1.0,
7.0,Rcqm,Wcdfmzf,2010-01-01,Class1,90.0,1.0,
8.0,Dxtivxzj,Efjad,2005-06-29,Class1,72.0,1.0,
9.0,Hmihvhc,Qjesq,2010-07-07,Class3,66.0,1.0,
10.0,Ktohqmnx,Doj,2009-04-28,Class3,72.0,1.0,
