studentId,firstName,lastName,DOB,class,score,status,photoPath
1.0,Jtxhskt,Pwprde,2010-01-20,Class3,66.0,1.0,
2.0,Lbpyyd,Bvn,2005-12-30,Class3,76.0,1.0,
3.0,Gjvzch,Ucivr,2005-09-11,Class5,83.0,1.0,
4.0,Vjt,Eksiz,2004-10-22,Class5,78.0,1.0,
5.0,Jwaz,Frsj,2000-01-25,Class5,65.0,1.0,
6.0,Hfd,Lbjj,2010-04-26,Class3,74.0,1.0,
7.0,Uet,Mddc,2002-02-10,Class1,79.0,1.0,
8.0,Qmk,Igtc,2004-12-08,Class1,79.0,1.0,
9.0,Ojuoipzj,Prbqjt,2006-09-29,Class2,65.0,1.0,
10.0,Ziapro,Uxz,2003-11-14,Class5,94.0,1.0,
11.0,Dnt,Ryvw,2010-11-07,Class4,68.0,1.0,
12.0,Dnxp,Yjnenfa,2008-01-03,Class4,81.0,1.0,
13.0,Czsj,Lyhhefr,2006-03-19,Class4,65.0,1.0,
14.0,Pvyzc,Nrkom,2010-02-17,Class3,84.0,1.0,
15.0,Srlhf,Wskjc,2006-02-02,Class4,72.0,1.0,
16.0,Ovifkkd,Kjkfg,2004-03-16,Class1,70.0,1.0,
17.0,Qawbvutl,Tom,2002-09-04,Class4,65.0,1.0,
18.0,Cgn,Anpud,2001-10-25,Class3,79.0,1.0,
19.0,Ufzzts,Fih,2003-09-04,Class2,82.0,1.0,
20.0,Hufdxfl,Ivy,2004-10-07,Class2,91.0,1.0,
21.0,Vytxyhho,Qwzvns,2003-02-23,Class4,85.0,1.0,
22.0,Ytyoer,Bqkd,2007-10-18,Class2,92.0,1.0,
23.0,Plciq,Luwblhw,2006-09-12,Class5,66.0,1.0,
24.0,Sbvrxgrd,Bukbwc,2006-09-04,Class3,88.0,1.0,
25.0,Vufuvx,Eafysce,2006-03-12,Class1,79.0,1.0,
26.0,Tunjyfjj,Mjivz,2003-12-21,Class3,86.0,1.0,
27.0,Fovz,Fyxjypy,2006-05-21,Class3,87.0,1.0,
28.0,Krd,Bynj,2008-10-26,Class1,71.0,1.0,
29.0,Dmhfmyg,Zdx,2006-02-20,Class5,88.0,1.0,
30.0,Hdop,Vheberc,2000-09-24,Class4,89.0,1.0,
31.0,Vmbuus,Qudtc,2000-05-24,Class1,80.0,1.0,
32.0,Lttdyh,Him,2009-07-26,Class2,82.0,1.0,
33.0,Vaapznbo,Lmuzo,2002-11-11,Class1,82.0,1.0,
34.0,Xfbgbxzu,Ldat,2008-09-24,Class2,89.0,1.0,
35.0,Iosqz,Oxqmauq,2006-11-06,Class3,82.0,1.0,
36.0,Vau,Ytit,2010-04-13,Class5,91.0,1.0,
37.0,Aotjchoj,Dsxsjo,2002-04-06,Class4,65.0,1.0,
38.0,Qiwd,Fcu,2003-03-14,Class2,89.0,1.0,
39.0,Wmt,Rhrykqs,2007-01-22,Class3,95.0,1.0,
40.0,Jbzepmf,Drzvevv,2010-03-15,Class2,88.0,1.0,
41.0,Itezbq,Mbsdqkoh,2010-06-27,Class1,72.0,1.0,
42.0,Jub,Hmb,2006-05-27,Class5,71.0,1.0,
43.0,Qit,Comi,2004-11-21,Class5,70.0,1.0,
44.0,Spgbh,Hmeq,2004-10-23,Class2,69.0,1.0,
45.0,Fbltqr,Otgu,2010-09-20,Class5,91.0,1.0,
46.0,Xhzbs,Yldugju,2007-10-02,Class5,74.0,1.0,
47.0,Sskvg,Edfdjv,2004-09-29,Class4,74.0,1.0,
48.0,Ijabi,Efsbrc,2000-09-17,Class2,93.0,1.0,
49.0,Sbzj,Jyep,2010-05-29,Class5,66.0,1.0,
50.0,Ukwo,Oopc,2010-11-12,Class2,83.0,1.0,
51.0,Tix,Fksmxx,2007-03-08,Class5,80.0,1.0,
52.0,Qnx,Funjd,2000-12-06,Class5,83.0,1.0,
