studentId,firstName,lastName,DOB,class,score,status,photoPath
1.0,Bsr,Vbqxvxe,2005-04-03,Class4,93.0,1.0,
2.0,Hgnzo,Nkohc,2004-02-08,Class2,77.0,1.0,
3.0,Ranuajhk,Ewp,2002-08-26,Class4,87.0,1.0,
4.0,Jsn,Flsvpo,2007-08-22,Class1,89.0,1.0,
5.0,Sep,Rfgqnczr,2009-04-05,Class4,72.0,1.0,
6.0,Eejldjxt,Tkgrdm,2008-04-28,Class4,78.0,1.0,
7.0,Whuang,Puubzf,2009-12-06,Class2,90.0,1.0,
8.0,Mxjzdpnj,Cdmsk,2007-02-19,Class5,72.0,1.0,
9.0,Wjgbvo,Ddwks,2003-05-06,Class1,83.0,1.0,
10.0,Bdgp,Dmtzm,2004-04-19,Class2,91.0,1.0,
11.0,Tzlc,Dqcvakd,2002-12-13,Class2,69.0,1.0,
12.0,Rtoc,Xlxvpm,2004-09-24,Class1,92.0,1.0,
13.0,Xgrme,Qyemnjt,2004-05-23,Class5,75.0,1.0,
14.0,Lvugo,Fmgo,2009-10-21,Class5,68.0,1.0,
15.0,Qmadqbg,Wsrjv,2010-04-30,Class3,80.0,1.0,
16.0,Glfjanu,Vox,2006-01-11,Class3,73.0,1.0,
17.0,Vbpqaxl,Sstnpt,2000-03-31,Class3,86.0,1.0,
18.0,Itcgqob,Vxezqt,2008-12-14,Class2,88.0,1.0,
19.0,Xzsffx,Lgkcr,2007-12-24,Class5,65.0,1.0,
20.0,Fvbzzyhd,Plbpimqc,2004-07-11,Class5,87.0,1.0,
21.0,Ibuvhaom,Slfcc,2009-09-28,Class1,67.0,1.0,
22.0,Vierouaj,Phq,2007-01-03,Class3,83.0,1.0,
23.0,Hzwyjq,Bdfzut,2001-10-09,Class1,75.0,1.0,
24.0,Add,Hnkogv,2009-05-25,Class3,89.0,1.0,
25.0,Uqwhzlc,Tvws,2009-07-07,Class2,72.0,1.0,
26.0,Kjkaimug,Sgvndbdg,2000-09-26,Class5,75.0,1.0,
27.0,Bci,Ydw,2002-03-06,Class4,76.0,1.0,
28.0,Cevwhmb,Adtuw,2002-01-17,Class5,93.0,1.0,
29.0,Leify,Fftdx,2006-12-30,Class2,73.0,1.0,
30.0,Jjalnpm,Osf,2005-12-12,Class5,90.0,1.0,
31.0,Rlaa,Wpmdp,2004-10-10,Class5,87.0,1.0,
32.0,Jbqr,Aivxlqig,2006-01-20,Class2,83.0,1.0,
33.0,Btlwjb,Zjw,2005-09-07,Class2,88.0,1.0,
34.0,Ftdviu,Cttuxkj,2000-05-27,Class4,66.0,1.0,
35.0,Nft,Ixwdyedp,2007-08-23,Class2,92.0,1.0,
36.0,Mchqnb,Nskvcasm,2003-06-01,Class5,68.0,1.0,
37.0,Jxrooz,Sejxdng,2004-12-27,Class4,67.0,1.0,
38.0,Eirup,Ozs,2007-03-25,Class1,88.0,1.0,
39.0,Smlpa,Jwmeb,2006-06-29,Class3,79.0,1.0,
40.0,Uoxuoh,Idlvrfaj,2008-09-30,Class5,85.0,1.0,
41.0,Uxm,Xobgsz,2009-01-12,Class1,93.0,1.0,
42.0,Loepmnd,Deratwp,2006-08-06,Class5,84.0,1.0,
43.0,Ltepzkrh,Rhlj,2007-01-22,Class2,83.0,1.0,
44.0,Vmtg,Wwlzhzh,2001-11-07,Class4,79.0,1.0,
45.0,Ofyj,Lydnf,2008-12-24,Class1,77.0,1.0,
46.0,Vptjyckj,Acnidnyj,2006-05-10,Class2,79.0,1.0,
47.0,Ptu,Bdh,2007-09-15,Class2,78.0,1.0,
48.0,Xxc,Krnkf,2010-06-15,Class5,93.0,1.0,
49.0,Wjgsi,Ythir,2008-04-04,Class2,66.0,1.0,
50.0,Mwylrucd,Lbyvx,2000-03-26,Class1,82.0,1.0,
51.0,Vcvycq,Sbxzoujk,2002-04-08,Class3,71.0,1.0,
52.0,Ssewdexw,Ortzuu,2010-03-24,Class4,69.0,1.0,
53.0,Uzgfnok,Nhvkobf,2009-02-17,Class4,76.0,1.0,
54.0,Mhqowdtv,Sxr,2002-08-17,Class2,66.0,1.0,
55.0,Cthdy,Qocw,2008-07-26,Class5,81.0,1.0,
56.0,Btilyq,Pjcxzi,2003-05-11,Class5,84.0,1.0,
57.0,Okhvy,Xehmz,2001-02-21,Class3,76.0,1.0,
58.0,Zhf,Tsga,2001-03-26,Class3,70.0,1.0,
59.0,Foanqpk,Wwgtx,2009-10-31,Class2,69.0,1.0,
60.0,Xiajbmtd,Acq,2002-02-10,Class1,84.0,1.0,
61.0,Noe,Jmvvpyvs,2008-01-05,Class2,83.0,1.0,
62.0,Osjvtmc,Debbtrnb,2005-09-14,Class2,67.0,1.0,
63.0,Ahx,Zgrxhkm,2003-06-29,Class4,66.0,1.0,
64.0,Ooaer,Lvhar,2004-06-18,Class5,82.0,1.0,
65.0,Pchk,Rbmpol,2003-05-25,Class3,78.0,1.0,
66.0,Bdpskazr,Afwq,2010-10-20,Class1,84.0,1.0,
67.0,Twv,Uwjrto,2001-10-10,Class1,85.0,1.0,
68.0,Xjnjb,Utu,2001-01-05,Class4,68.0,1.0,
69.0,Pxjb,Gitexdtb,2000-07-30,Class4,82.0,1.0,
70.0,Ibniy,Jmhp,2006-06-14,Class3,74.0,1.0,
71.0,Uyskjl,Prfspk,2006-10-05,Class2,93.0,1.0,
72.0,Xfa,Akihh,2009-04-07,Class4,74.0,1.0,
73.0,Ztvtvoz,Kwpscef,2004-08-04,Class3,78.0,1.0,
74.0,Ouzijc,Rbkeimy,2008-10-14,Class4,79.0,1.0,
75.0,Xvzeky,Bga,2004-05-22,Class5,72.0,1.0,
76.0,Ydm,Qomp,2010-07-19,Class3,65.0,1.0,
77.0,Ins,Rbdndo,2006-10-01,Class4,76.0,1.0,
