studentId,firstName,lastName,DOB,class,score,status,photoPath
1.0,Lqzllhw,Ezmymgw,2009-01-28,Class5,85.0,1.0,
2.0,Zaktonow,Lqgipbpg,2009-04-08,Class4,95.0,1.0,
3.0,Bflo,Kruzlq,2007-06-20,Class1,77.0,1.0,
4.0,Sqzr,Oujzb,2002-02-16,Class1,81.0,1.0,
5.0,Xidl,Watx,2000-02-06,Class5,68.0,1.0,
6.0,Gvbnxm,Kyf,2002-04-12,Class3,73.0,1.0,
7.0,Jpc,Ypeggj,2007-09-29,Class2,93.0,1.0,
8.0,Jxggniv,Hsjxxbcm,2009-10-15,Class3,88.0,1.0,
9.0,Chtgzioi,Ltsrrv,2008-03-03,Class2,73.0,1.0,
10.0,Ojvoupw,Jovgd,2001-12-04,Class5,73.0,1.0,
11.0,Btffdzn,Dgssbez,2007-01-21,Class3,80.0,1.0,
12.0,Fjfc,Ssnuhgu,2005-01-25,Class3,82.0,1.0,
13.0,Gjd,Sshr,2004-04-03,Class1,93.0,1.0,
14.0,Ulgkih,Wdiv,2010-12-01,Class5,86.0,1.0,
15.0,Cpzcrf,Rgsn,2007-06-14,Class1,69.0,1.0,
16.0,Ueznf,Qpurefpk,2008-02-08,Class4,72.0,1.0,
17.0,Ubgqjv,Sngwgxog,2000-07-23,Class1,69.0,1.0,
18.0,Grw,Ibmthbsr,2002-09-11,Class1,94.0,1.0,
19.0,Sgupoayb,Epmnkvvj,2000-02-27,Class3,82.0,1.0,
20.0,Ilug,Iuozgi,2003-01-03,Class3,80.0,1.0,
21.0,Pjmy,Frpkb,2010-06-14,Class4,86.0,1.0,
22.0,Xucll,Nadbmrrz,2004-05-27,Class5,94.0,1.0,
23.0,Yiemyjfe,Lwf,2000-09-15,Class2,83.0,1.0,
24.0,Grxrs,Dzsjblj,2001-10-19,Class3,81.0,1.0,
25.0,Wrhua,Tlcoldx,2002-07-19,Class5,83.0,1.0,
26.0,Ztro,Lhp,2007-06-07,Class5,80.0,1.0,
27.0,Clnu,Ozoar,2006-05-10,Class5,81.0,1.0,
28.0,Hixjtx,Akzstum,2005-03-18,Class1,76.0,1.0,
29.0,Xbytrnf,Cjr,2006-02-14,Class1,91.0,1.0,
30.0,Liii,Xjyb,2008-11-03,Class2,82.0,1.0,
31.0,Lohztd,Dbk,2010-12-31,Class3,73.0,1.0,
32.0,Znsahmjk,Nuzrmx,2005-09-06,Class2,75.0,1.0,
33.0,Mqvkl,Ypepduo,2001-10-23,Class1,94.0,1.0,
34.0,Yvzkqjwz,Vlgimv,2007-03-03,Class4,71.0,1.0,
35.0,Vvhdf,Lfecxwyx,2004-12-18,Class4,71.0,1.0,
36.0,Tok,Kie,2003-02-04,Class1,95.0,1.0,
37.0,Cujjoz,Rzo,2000-03-17,Class5,84.0,1.0,
38.0,Bewfnzu,Mcwqndi,2002-07-14,Class2,83.0,1.0,
39.0,Lovbobro,Nyitci,2003-08-02,Class3,76.0,1.0,
40.0,Rcps,Obxbofm,2005-04-23,Class1,88.0,1.0,
41.0,Bxm,Ofz,2010-09-24,Class4,82.0,1.0,
42.0,Apnf,Vcko,2000-02-24,Class2,68.0,1.0,
43.0,Fmj,Rumgzrg,2009-06-19,Class1,89.0,1.0,
44.0,Txrvnocv,Nrjyq,2008-10-23,Class5,91.0,1.0,
45.0,Tkzfvoun,Gttaq,2006-11-25,Class3,73.0,1.0,
46.0,Sosmiftf,Oqzjcujw,2008-07-11,Class1,67.0,1.0,
47.0,Bede,Ese,2000-09-12,Class4,72.0,1.0,
48.0,Rbmuf,Tpypdv,2008-08-05,Class4,79.0,1.0,
49.0,Ymvzsm,Xweobn,2010-01-08,Class5,77.0,1.0,
50.0,Mpgvbaqy,Ewxcqdql,2004-10-16,Class1,84.0,1.0,
51.0,Manknzfi,Zcupux,2004-01-01,Class2,91.0,1.0,
52.0,Qogpwl,Cvlyypi,2007-12-26,Class3,87.0,1.0,
53.0,Wkjgrw,Riurmr,2004-12-10,Class1,74.0,1.0,
54.0,Vsfvxgii,Oojreisl,2005-01-06,Class1,74.0,1.0,
55.0,Nos,Vnfcz,2003-11-21,Class5,71.0,1.0,
56.0,Bmcpbdw,Uiifuv,2007-09-02,Class1,80.0,1.0,
57.0,Qwziw,Jexrsupp,2004-06-07,Class3,83.0,1.0,
58.0,Jzo,Ybkyrkzd,2001-01-30,Class2,71.0,1.0,
59.0,Hydjvj,Vpybwt,2006-08-12,Class3,70.0,1.0,
60.0,Gnurlza,Vndte,2006-11-10,Class4,80.0,1.0,
61.0,Yzyto,Wnpe,2002-01-01,Class5,81.0,1.0,
62.0,Zvkroagz,Dkhlwpac,2007-08-04,Class5,92.0,1.0,
63.0,Ezvomk,Avje,2005-04-08,Class3,87.0,1.0,
64.0,Enotvqht,Ifnzq,2009-10-01,Class4,90.0,1.0,
65.0,Cfrzel,Pzhrs,2000-10-04,Class5,65.0,1.0,
66.0,Tdye,Gmufmmk,2003-10-10,Class3,88.0,1.0,
67.0,Zuizs,Hdmke,2005-11-03,Class1,70.0,1.0,
68.0,Vpcicgy,Mdx,2000-04-27,Class3,90.0,1.0,
69.0,Lofjm,Niawap,2010-09-08,Class1,69.0,1.0,
70.0,Smv,Wubar,2003-02-13,Class2,80.0,1.0,
71.0,Lofnzwcb,Nfalnt,2007-12-23,Class5,72.0,1.0,
72.0,Blnt,Aizth,2004-10-18,Class5,70.0,1.0,
73.0,Prac,Eqisoirr,2000-03-30,Class2,70.0,1.0,
74.0,Spbdwog,Dtfmfchn,2003-05-15,Class3,89.0,1.0,
75.0,Xoxhgv,Zlti,2005-02-17,Class5,68.0,1.0,
76.0,Zzwlajsy,Uggdbkf,2006-01-07,Class5,87.0,1.0,
77.0,Unnbb,Gums,2005-03-03,Class3,86.0,1.0,
