studentId,firstName,lastName,DOB,class,score,status,photoPath
1.0,Mdpvn,Vgz,2000-12-03,Class2,75.0,1.0,
2.0,Zsqu,Gftf,2001-03-30,Class2,75.0,1.0,
3.0,Macftx,Jxyqaj,2009-02-05,Class2,71.0,1.0,
4.0,Oayky,Upmmx,2000-01-07,Class5,74.0,1.0,
5.0,Vrvwt,Ugw,2002-12-02,Class3,91.0,1.0,
6.0,Zewqus,Dqe,2004-01-11,Class1,78.0,1.0,
7.0,Jsxgjxpi,Czsitani,2001-09-27,Class1,93.0,1.0,
8.0,Yjzgksgv,Nqyvzp,2001-04-14,Class1,80.0,1.0,
9.0,Qldlcrp,Trwayzet,2010-06-13,Class2,85.0,1.0,
10.0,Ljfpaejw,Zgewr,2001-02-12,Class2,75.0,1.0,
11.0,Gtmrs,Nmfgs,2005-09-14,Class3,85.0,1.0,
12.0,Nemi,Ccqsls,2009-08-24,Class3,68.0,1.0,
13.0,Yvurkcc,Bvga,2003-11-15,Class5,92.0,1.0,
14.0,Dcmvy,Uus,2010-05-28,Class2,66.0,1.0,
15.0,Glfcyt,Arl,2005-04-09,Class5,67.0,1.0,
16.0,Yeb,Woi,2001-11-09,Class4,77.0,1.0,
17.0,Wql,Glnht,2004-01-23,Class1,95.0,1.0,
18.0,Mjcpiot,Dakx,2005-05-06,Class3,88.0,1.0,
19.0,Znxxygq,Jes,2000-11-20,Class1,86.0,1.0,
20.0,Sqivt,Xtukjj,2010-07-06,Class4,79.0,1.0,
21.0,Uojvava,Evxq,2005-04-15,Class5,81.0,1.0,
22.0,Ralyxt,Btvh,2007-01-22,Class1,84.0,1.0,
23.0,Tpescnt,Ajq,2005-11-18,Class4,81.0,1.0,
24.0,Olbxuwb,Dmexxfpa,2004-10-01,Class2,81.0,1.0,
25.0,Seb,Vlvng,2000-02-25,Class5,83.0,1.0,
26.0,Whygs,Kap,2000-01-12,Class5,81.0,1.0,
27.0,Zdfg,Nrimouvw,2000-12-26,Class2,76.0,1.0,
28.0,Tdx,Xsv,2004-10-19,Class5,90.0,1.0,
29.0,Hxsnb,Eaol,2003-07-13,Class1,71.0,1.0,
30.0,Zjims,Qqrov,2009-10-29,Class2,78.0,1.0,
31.0,Wuh,Tejfxf,2002-05-26,Class3,76.0,1.0,
32.0,Ucgo,Fheimwzm,2004-08-17,Class4,87.0,1.0,
33.0,Ulxf,Bhlvvst,2006-09-04,Class3,94.0,1.0,
34.0,Atalfrsu,Mssoirc,2007-12-01,Class1,71.0,1.0,
35.0,Lybu,Gdgq,2010-12-01,Class1,69.0,1.0,
36.0,Hngg,Omdctubo,2001-02-16,Class1,72.0,1.0,
37.0,Jlxvxkv,Vvoiwhny,2002-04-18,Class1,90.0,1.0,
38.0,Kgrcmbm,Sswlwhw,2001-01-27,Class4,69.0,1.0,
39.0,Jwiske,Bies,2009-06-17,Class4,70.0,1.0,
40.0,Bsss,Nvttwgx,2007-06-27,Class3,89.0,1.0,
41.0,Mvkrn,Rvnbus,2000-04-17,Class2,79.0,1.0,
42.0,Exyxhmjx,Esplbel,2000-08-26,Class1,65.0,1.0,
43.0,Amqtm,Bfds,2006-07-25,Class3,86.0,1.0,
44.0,Jgfqexj,Fephxawu,2009-02-14,Class5,93.0,1.0,
45.0,Yqkligfu,Drbthnb,2007-12-06,Class2,88.0,1.0,
46.0,Tmgrhnvp,Nyem,2005-07-24,Class4,75.0,1.0,
47.0,Rgle,Xskoq,2001-04-12,Class2,88.0,1.0,
